  ROEt    ATO     PM    LEV GROWTH      PB    ARR    INV  ASSET    ROE
-0.037  0.641  0.238  4.841  0.411  17.955 -0.497  0.128 21.191 -0.166
-0.812  0.405  0.131  1.188 -2.591  -3.054  0.356  0.028 20.116  0.534
-0.340  0.630  0.263  1.314 -5.962   7.401 -0.743 -0.057 22.177 -0.554
 0.329 -0.612  0.508 -1.600  1.427   2.566 -0.584  0.010 20.003  0.711
-0.202  0.921  0.088  1.697  0.756  -6.439  1.670  0.267 22.092 -0.324
 0.840  0.835  0.180 -0.273  3.293  -4.593  0.110  0.101 20.274  0.768
-0.250  0.112  0.080  1.232 -3.562   3.928  1.018  0.046 20.726 -0.313
-0.256  0.765  0.206  3.887 -0.804  15.356  1.294  0.185 21.225  0.764
-0.232  0.146  0.382  1.194  1.429   2.245  0.420 -0.031 21.507 -0.270
-0.285  0.493  0.171 -4.921  3.681 -13.858  0.283  0.231 20.799  1.066
-0.450  0.866  0.282 -1.128 -1.517  -9.774 -0.146  0.133 21.973  0.378
 0.503  0.668 -0.058  4.818 -2.704   7.729  1.717  0.222 21.083 -0.355
-0.090  0.475  0.212  1.073 -2.124   6.698 -0.994  0.323 21.518  0.547
-0.076  0.571  0.167 -1.636 -3.087   2.552  1.228  0.183 21.578  0.794
 0.357  0.140  0.395  2.470 -0.332  12.368 -1.332 -0.084 20.648  1.172
 0.171  0.470  0.328 -0.411  0.527   2.416  0.725  0.046 19.631  0.663
-0.215  0.464  0.125 -1.601  4.498   3.121  0.354  0.170 20.393  0.317
-0.678  0.021  0.024  0.029  0.801   0.717  0.679  0.210 21.674  0.282
-0.372  0.250  0.325 -2.094 -1.596   4.091 -0.366  0.115 20.619  0.958
 0.104 -0.243  0.113  2.036  0.825  -7.365  0.394  0.218 21.784  0.810
-0.248  0.484  0.320  1.521  0.206  13.124  1.075  0.326 20.280  0.677
 0.219  0.483 -0.285 -2.695 -1.763  -8.887  0.386  0.208 21.425  0.659
-0.010  0.544  0.282 -0.159 -1.883   5.328  0.675  0.319 20.603  1.265
 0.066  0.268  0.060 -2.875  2.802  -8.727  0.150  0.198 21.177  0.705
-0.310  0.774  0.258  0.334 -1.008   4.510 -0.612 -0.235 20.189  0.028
 0.036  0.606  0.432  1.781  2.119   7.082 -1.237  0.365 20.981  0.489
 0.122  0.340  0.532 -3.363  3.912  -6.463  0.138  0.008 20.901  0.221
 0.031  0.415  0.316  0.956 -2.460  -0.132 -0.342  0.144 21.407 -0.009
 0.005  0.509  0.253  1.490  1.878  10.509 -0.900  0.205 21.069  0.321
 1.394  1.460  0.347 -4.937  0.928  -8.788 -1.982  0.267 20.518  1.672
 0.330  1.000  0.330 -1.465 -0.843   2.232  0.839  0.229 20.049  1.105
 0.299  1.222  0.100 -3.920  3.803   4.197  1.411  0.036 21.725  0.615
-0.415  0.991  0.220 -0.269  0.652  -2.150 -0.076 -0.042 21.496  0.039
-0.249  0.318  0.335  2.936  0.301   7.549 -1.179  0.031 21.412  0.071
-0.252  0.561  0.196 -1.133  0.010   4.006 -0.043 -0.016 19.768  0.875
-0.290  0.358  0.191  0.941 -0.998  -3.108  0.158  0.089 22.082 -0.189
-0.682  0.774  0.203  8.196  1.878   6.436 -1.828  0.020 21.571 -0.207
 0.181  0.708  0.238 -1.488 -5.662  -5.370  0.077  0.284 20.505  0.464
 0.023  1.000  0.436  1.125 -4.145  -4.923 -1.157  0.217 21.121 -0.002
 0.246  1.146  0.103 -1.298 -2.931  -7.223  0.947  0.068 20.711  0.832
 0.097  1.008  0.512 -2.003 -2.494  -9.905 -1.163  0.209 22.814  0.181
 0.456  0.198  0.253  4.711 -1.825   9.935  0.381  0.120 23.031  0.406
 0.129  0.574  0.216 -3.901 -2.267 -10.984 -0.101  0.039 20.492  0.630
 0.339  0.343  0.217 -5.343 -2.804 -12.887 -0.661 -0.029 20.861  0.215
 0.844 -0.061  0.293  1.117  3.852   1.955 -0.181  0.133 20.032  0.517
-0.287  0.391  0.135  6.114  3.680  15.665  0.691  0.125 19.401  0.492
-0.263 -0.006  0.073  4.051  1.583  18.554  0.116  0.097 22.256 -0.207
 0.796  0.558  0.268 -0.468  0.623  -1.961 -0.094  0.158 19.180  0.708
 0.341  1.342  0.301  2.471 -0.965   0.007 -0.475  0.133 20.863  0.289
 0.265  1.293 -0.211 -1.550 -0.986 -15.833  1.170  0.191 20.225  0.205
 0.851  0.638  0.082  1.214  1.399   5.636 -1.195 -0.024 21.893  0.324
-0.026  0.608 -0.083  0.725  4.857  -4.337  1.371  0.131 22.068  0.318
-0.230  0.691  0.248  0.455 -0.697   6.745  0.418  0.091 20.113  0.438
 0.669  1.000  0.173  0.656 -0.171   1.141 -0.132 -0.064 21.225  0.537
-0.495  0.407  0.024  5.229 -2.432   5.666  1.271  0.202 20.718 -0.353
 0.558  0.720  0.210 -6.615  3.650 -13.313 -1.633 -0.020 21.956  0.776
 0.225  0.467 -0.026 -1.805  1.092   7.842 -0.518  0.210 20.618  0.625
 0.216  0.449  0.007 -1.660  4.886  -1.651 -0.650  0.185 20.688  1.081
 0.788 -0.354  0.163 -6.148  0.101 -10.010  0.131  0.313 21.957  1.121
-0.203  0.756 -0.042 -0.359  2.217  -5.897  1.308 -0.039 21.209  0.259
 0.695  0.119  0.357 -1.885  1.292   4.288  0.167  0.092 20.890  1.149
-0.747  1.927 -0.424  0.059  0.202   2.165  2.441  0.233 19.119  0.119
 0.696  0.831  0.027  6.500  1.800  15.870  0.476  0.203 22.294  0.623
-0.440  0.371  0.215 -3.835 -1.484  -8.354 -0.389  0.131 22.628 -0.068
-0.573  0.376  0.099  1.673 -1.441   2.736  0.970  0.211 21.109  0.013
 0.411  0.104  0.217  9.338  0.973  14.442  1.117  0.292 22.044  0.389
-0.280  0.096 -0.027  0.561  0.640  -5.064  0.103  0.167 20.802 -0.133
 0.575  0.142  0.698 -1.841  1.232  -6.692 -0.223  0.303 21.965  0.908
-0.144  0.832  0.437  4.942 -2.459  15.251  0.117 -0.199 20.772  0.409
 0.205  0.130  0.381 -0.590  0.859   9.385 -0.225  0.031 20.967  0.399
-0.223  0.777 -0.020  1.877  3.381   8.775  0.308 -0.042 19.915 -0.028
 1.033  0.583  0.610 -4.239  1.040 -10.580 -0.394  0.241 20.895  0.989
 0.014  0.985 -0.166 -0.613  0.637   4.387  1.329  0.267 21.324  0.014
-0.437  0.578  0.299 -3.424 -2.199 -12.047 -0.344  0.124 21.112  0.069
-0.520  1.269  0.340  2.404  2.881   5.951 -0.197  0.036 22.017 -1.044
-0.207  0.169  0.325  5.275 -0.583  18.639  0.138  0.265 21.635  0.528
 0.346  0.769  0.321 -1.891  1.819  -3.885  0.239 -0.093 21.540  0.480
-0.752 -0.426  0.193 -0.717 -0.194   2.448  1.411  0.261 21.743  0.030
-0.455 -0.163  0.372  6.054 -0.902  21.986  0.038  0.116 22.229  0.403
 0.372  0.684  0.288  5.067 -3.516  14.356  0.218  0.025 19.857  0.321
-0.043 -0.200  0.257  5.765  1.579  17.687  0.089  0.295 20.395  0.432
 0.757  0.635  0.061 -1.624  0.778  -7.964 -0.701 -0.011 23.225  0.380
 0.406  0.888  0.091  1.191 -1.205  -0.066  3.187  0.094 20.575  0.428
-0.590  0.900  0.098  0.299  1.790  -1.827 -0.034 -0.050 22.152 -0.337
 0.878  1.182 -0.249  0.489  2.425  -3.305 -0.602 -0.018 20.506  0.862
-0.139  0.952  0.265 -2.193 -0.134 -16.495  0.363  0.065 19.840  0.594
-0.648  0.791 -0.007 -3.571 -1.198 -14.790 -0.092  0.138 19.915  0.470
 0.437  0.707  0.285  3.276  3.124  11.854  0.648  0.069 21.719 -0.130
-0.180 -0.021  0.244  1.251 -1.626  11.518  0.503  0.127 20.513 -0.201
-0.475  0.332  0.545 -2.208  3.725   6.092 -0.798  0.025 21.112  0.841
 0.360  0.600  0.421 -4.250  1.346 -13.762  0.154 -0.056 20.750  0.790
 0.090  0.426  0.262  0.396 -0.131   1.320 -0.252  0.274 21.574  0.594
 0.294  1.412  0.173  2.026  2.333   6.339  0.085 -0.057 22.928  1.116
 0.564  1.197  0.197  1.799  5.478  13.176  0.749  0.058 21.301  0.123
-0.418  1.039 -0.083  4.417  1.806  12.907  0.290  0.163 20.181 -0.445
-0.669  0.495 -0.097 -0.489  0.865  -5.860  0.909  0.182 22.346 -0.445
 0.314  0.681 -0.059 -1.898  0.883   7.199  0.268 -0.070 20.578  0.749
-0.070  0.921  0.286  1.450 -2.753   1.595 -0.647 -0.068 21.432  0.568
-0.886  1.198 -0.007  2.481 -3.114   6.919  0.353  0.222 21.082 -0.334
-0.333  1.420 -0.216  2.833 -0.860   1.590  1.486  0.186 21.499  0.618
 0.372  0.647  0.165 -4.214  1.546 -10.536 -0.229  0.028 21.138  1.239
 1.331  0.795  0.163  0.383  2.907  -8.048 -0.105  0.195 21.259  1.368
-0.605  0.183  0.243  1.400  1.032   2.852 -1.173  0.127 21.290  0.124
 0.058 -0.149 -0.218  3.395  0.965  10.678  0.971 -0.010 19.215 -0.022
-0.336  0.041  0.073  5.471  0.914  -2.413 -0.652  0.192 22.589 -0.449
 1.242  0.048  0.122 -0.486 -4.127  -5.197  2.646 -0.051 21.484  0.799
 0.262  0.143  0.121  0.066 -2.612  -1.457  0.738  0.082 21.535  0.163
-0.251 -0.295  0.304 -2.130 -0.901  -9.368  0.818  0.057 21.977  0.337
 0.094 -0.039  0.266 -3.400 -2.017  -8.225 -0.017  0.332 20.075  0.547
 0.148  0.372 -0.073 -0.014 -3.900   4.173  0.750  0.080 22.707  0.179
-0.245  0.688 -0.088 -0.449 -1.239   0.235  0.022  0.047 21.478  0.402
 0.403  1.092  0.254 -1.905  3.273  -0.001  0.525  0.077 19.582  1.132
 0.341  0.365  0.176 -4.756 -0.278  -0.519 -0.257  0.225 20.904  0.862
 0.847  0.415  0.343 -0.503  3.488   4.119 -0.687  0.223 21.479  0.790
 0.204  0.454  0.317  2.207  2.534  22.438 -0.529  0.164 20.856  0.865
 0.698  0.573  0.019  1.347  1.960   4.279  1.459  0.265 20.041  1.357
 0.562  0.684  0.259  2.524 -0.118  -5.950  0.163  0.362 21.364  0.062
-0.082  0.330  0.350 -0.127 -0.578  -0.315 -0.233 -0.145 20.616 -0.269
 0.134  0.190  0.277  3.789 -1.187   8.718 -1.050  0.043 21.195  0.274
-0.177  0.315  0.322  2.475 -0.068  -4.461  1.480 -0.091 20.290  0.148
 0.533 -0.023  0.372  0.137 -1.566  -2.229  0.590  0.287 22.068  0.357
-0.520  0.303  0.030  0.048  1.327  -5.157  1.912  0.277 20.873 -0.082
 1.247  0.782  0.567  1.493  3.199   7.942 -0.913  0.017 21.300  0.896
 0.109  1.270  0.067 -0.319 -0.145  -5.903 -0.452  0.176 22.718  1.080
-0.594  0.463  0.288  4.589 -2.062  11.701 -0.392  0.099 20.781 -0.405
 0.471  0.159  0.202 -0.675 -1.150  -7.523  0.375 -0.264 20.682  0.992
-0.029  0.582  0.114 -0.949 -0.426   2.361 -0.044  0.200 21.084  0.362
-0.657  0.108  0.380  8.214  0.752  13.527 -1.837  0.091 21.021 -0.550
 1.042  0.477 -0.261 -0.461  0.259  -0.096  0.231  0.014 21.555  1.544
 0.120  0.455  0.446 -2.020 -2.207  -1.756 -1.612 -0.079 20.128  0.711
 0.933 -0.569  0.533 -1.204  2.593   0.355  0.940  0.057 20.569  1.042
 0.071  0.770  0.247 -5.922  0.472 -12.438  0.657 -0.007 21.478  0.355
-0.023  0.536 -0.178 -1.887 -0.445  -3.626  0.334  0.095 21.377  0.434
-0.677  0.655  0.368  5.506  0.809   8.642  0.345  0.257 22.912  0.517
-0.137  0.114  0.231  1.762  0.618   3.529 -1.527  0.181 21.162  0.693
 0.703  0.117  0.233 -2.845  2.718  -6.535  0.127  0.228 20.290 -0.119
-1.128 -0.376  0.064  4.289 -4.019   6.729 -0.426 -0.025 20.447 -0.023
 0.219  0.070  0.321  1.122  2.023   1.586 -0.090  0.151 22.256  0.134
 0.919  0.918  0.294 -0.514 -2.806   4.037 -0.087  0.160 21.372  1.589
-1.189 -0.035  0.458  1.156  1.283  -6.965 -0.908 -0.049 21.046 -0.518
-0.983 -0.017  0.178 -0.816 -1.456  -0.943  2.196  0.214 22.374 -0.308
-0.030  0.631  0.436  4.481  2.530  17.974 -0.363  0.193 20.213  0.502
-1.103  0.395  0.266 -3.556  0.195  -8.673 -1.621  0.191 21.481 -0.216
 0.334  1.006  0.132 -0.834 -1.053   6.337 -0.423  0.114 20.963  0.899
-0.313  0.077  0.223  0.063  1.091  -6.235  1.970 -0.010 20.996 -0.171
 0.244  0.273  0.150  2.909 -0.003  -8.751  0.886  0.240 21.174  0.474
 0.096  0.149 -0.111 -0.007 -1.824   8.912  1.504  0.079 20.808  0.121
 0.203  0.787  0.274  1.208  2.136  10.886 -0.165  0.078 19.800  0.640
-0.015  0.504  0.111  0.223  2.061   0.891  0.354  0.246 21.148  0.540
 0.516  0.257  0.002  2.052  0.366   6.561  0.963  0.137 21.133  0.070
-0.014  0.954 -0.075  1.815  1.072  11.470 -0.080 -0.109 21.181 -0.257
 0.424  0.860  0.139  2.712 -1.716   5.502  0.262  0.197 20.586  0.704
 0.913  0.672  0.326  4.612  2.811  14.425  0.088  0.032 21.489  0.894
 0.891 -0.073  0.313 -2.462  4.947  -8.806 -0.081 -0.001 19.710  0.616
-0.376 -0.012  0.262  4.091  2.172  20.905 -0.239  0.125 20.998  0.127
-0.211  0.287  0.397 -2.652  0.915  -2.637  0.162  0.096 20.948  0.620
-0.471  1.217  0.294 -1.593  3.910  -1.247 -1.597  0.162 20.642  0.266
 0.147 -0.507  0.639 -1.051  3.058   2.687 -0.477  0.401 19.806  0.581
-0.283  0.153  0.382  3.553  0.179  19.307 -0.124  0.084 19.343  0.141
 0.400 -0.021  0.202  0.357  2.937   0.175  1.528  0.096 21.070  0.315
 0.277  0.587  0.431 -5.451  4.215 -11.471 -0.598  0.166 21.643  0.978
-0.227  0.713  0.429 -0.652  0.957  -1.317 -1.763 -0.066 21.446 -0.530
-0.518  0.625  0.086  4.317 -0.240   5.572 -0.516  0.332 20.755 -0.307
-0.042 -0.166 -0.158  3.715  1.316   9.594  0.935 -0.038 20.364  0.678
-0.212  0.109  0.320 -1.033  0.669   5.118  1.580  0.021 20.200  0.319
-0.373 -0.604  0.441 -3.499 -0.230  -6.823  0.728  0.123 21.393  0.391
-0.197  0.051  0.355 -2.589 -0.504  -9.085 -0.526  0.122 19.862  0.588
-0.796 -0.206  0.187  7.982  1.600  28.726  0.871  0.171 21.361  0.019
 0.143  0.822  0.241  6.192  0.302  22.494 -0.289  0.121 20.694  0.497
-0.743  0.272  0.362  3.611  2.295  13.557  0.000  0.180 20.662 -0.596
-0.319  0.888  0.226  1.654  0.999   5.578 -0.339  0.156 20.011  0.043
 0.080  0.277  0.228 -3.686  1.673  -0.704  1.008  0.079 20.920  0.087
-0.491  0.157  0.338  3.675  1.157   8.506  0.687  0.260 21.182 -0.057
 0.278 -0.177  0.273  5.488  1.258  10.396  0.567 -0.036 20.367  0.549
-0.115  0.874  0.036 -3.107 -2.769 -14.050  0.016  0.096 20.599  0.551
 0.401  0.311  0.358 -2.365  2.638   8.417 -0.922 -0.120 20.712  0.666
-0.048  0.071  0.178  2.768 -3.040   9.665  0.596  0.051 19.672  0.112
 0.300  0.500  0.255  3.167  2.500  16.795 -1.419 -0.071 19.701 -0.250
 0.484  0.127  0.287 -2.593  2.473  -4.511  0.400  0.184 20.199  0.884
 0.063 -0.416  0.000 -1.739  2.482  -4.809  1.793 -0.009 19.747  1.017
